date,small-low,small-2,small-high,big-low,big-2,big-high
1957-09-01,-7.13,-4.91,-5.06,-6.36,-4.29,-6.62
1957-10-01,-8.32,-5.65,-8.24,-3.75,-3.38,-7.41
1957-11-01,3.04,1.44,1.08,3.08,2.02,-0.52
1957-12-01,-4.56,-4.66,-5.85,-3.91,-2.39,-5.99
1958-01-01,12,10.47,11.95,3.45,6,11.94
1958-02-01,-1.63,-0.48,-0.5,-1.8,-0.52,-2.45
1958-03-01,5.46,3.81,3.09,3.4,3.23,3.33
1958-04-01,3.07,1.63,4.38,3.32,2.49,5.27
1958-05-01,6.31,4.26,4.23,2.04,2.65,3.73
1958-06-01,1.91,3.3,2.96,3.15,2.67,3.08
1958-07-01,4.22,6.14,7.09,4.41,3.91,7.72
1958-08-01,4.36,3.11,3.16,1.67,1.88,3.54
1958-09-01,5.51,4.31,7.92,4.73,4.36,8.29
1958-10-01,6.95,2.85,3.07,2.71,2.63,4
1958-11-01,7.68,4.22,4.04,3.31,2.13,4.42
1958-12-01,2.76,3.25,3.64,4.93,6.94,4.03
1959-01-01,4.47,5.16,5.65,-0.61,2.71,4.14
1959-02-01,2.42,3.68,2.84,0.56,1.53,2.26
1959-03-01,1.61,1.51,1.82,0.67,-0.02,-0.1
1959-04-01,3.79,3.5,2.12,4.75,2.52,3.86
1959-05-01,-1.4,0.47,1.4,2.71,0.59,3.74
1959-06-01,1.73,0.57,1.87,-0.42,0.39,2.15
1959-07-01,2.13,2.77,3.56,3.96,2.4,3.09
1959-08-01,-1.86,-1.21,-2.03,-1.33,-1.04,-0.37
1959-09-01,-5.37,-4.57,-3.98,-4.97,-3.3,-5.4
1959-10-01,3.99,2.52,1.18,1.39,1.88,0.21
1959-11-01,3.9,1.99,0.58,3.01,-0.19,-0.2
1959-12-01,3.51,2.44,2.08,2.96,2.56,4.26
1960-01-01,-5.82,-3.19,-3.03,-8.19,-4.43,-5.59
1960-02-01,2.04,1.42,0.55,1.35,2.12,-1.15
1960-03-01,-2.23,-2.55,-3.71,-0.89,-1.07,-5.14
1960-04-01,0.16,-2.19,-2.91,-1.53,-1.4,-3.18
1960-05-01,5.23,1.77,2.48,4.3,1.76,-0.37
1960-06-01,2.37,2.42,1.71,2.74,1.49,2.76
1960-07-01,-3.36,-1.78,-1.46,-3.52,-0.21,-1.27
1960-08-01,4.17,3.44,4.11,2.73,4.16,2.35
1960-09-01,-7.74,-5.85,-6.19,-6.74,-4.33,-5.18
1960-10-01,-6.47,-2.49,-2.73,-0.66,0.02,0.85
1960-11-01,6.47,4.94,3.1,5.41,3.98,4.05
1960-12-01,4.11,3.49,2.48,3.56,7.38,3.76
1961-01-01,7.38,7.88,9.83,4.86,7.83,10.02
1961-02-01,8,6.31,7.45,4.02,2.6,3.17
1961-03-01,7.32,4.86,5.93,2.2,4,2.23
1961-04-01,0.99,0.37,2.19,-0.31,1.15,2.46
